step,solver_type,duration_ms,local_moved
1,Regular,2.16942,0.0
2,ML,365.167,40.6898
3,Regular,2.22871,15.3107
4,ML,308.407,38.7805
5,Regular,2.67451,24.3357
6,ML,276.452,37.3584
7,Regular,1.54999,31.2061
8,ML,252.989,36.3446
9,Regular,2.01037,36.6709
10,ML,285.979,35.5438
11,Regular,1.87947,41.2529
12,ML,258.823,34.8721
13,Regular,2.09135,45.1256
14,ML,275.672,34.2651
15,Regular,1.7547,48.3451
16,ML,278.112,33.7266
17,Regular,2.39229,51.2174
18,ML,348.351,33.2694
19,Regular,5.9808,53.7219
20,ML,254.319,32.87
21,Regular,1.83008,55.9118
22,ML,285.705,32.4966
