step,solver_type,duration_ms,local_moved
1,Regular,0.281157,0.0
2,ML,22381.6,11.8551
3,Regular,4.85449,5.15288
4,ML,32.0857,11.5239
5,Regular,5.68022,8.058
6,ML,36.8656,11.3378
7,Regular,0.704397,10.5871
8,ML,34.1192,11.2377
9,Regular,4.91588,12.7845
10,ML,31.7026,11.173
11,Regular,5.66941,14.7061
12,ML,32.6822,11.1011
13,Regular,5.39234,16.3935
14,ML,32.1645,10.9916
15,Regular,5.57666,17.751
16,ML,32.0355,10.876
17,Regular,0.740436,19.0452
18,ML,33.8307,10.7726
19,Regular,5.03965,20.1552
20,ML,31.4621,10.6969
21,Regular,5.61322,21.2392
22,ML,37.7748,10.6317
