step,solver_type,duration_ms,local_moved
1,Regular,4.62241,0.0
2,ML,348.566,11.855
3,Regular,0.625378,5.15288
4,ML,130.097,11.5239
5,Regular,4.5497,8.058
6,ML,93.7493,11.3378
7,Regular,4.21423,10.5871
8,ML,98.1326,11.2377
9,Regular,4.50928,12.7845
10,ML,104.525,11.173
11,Regular,4.03816,14.7061
12,ML,99.498,11.1012
13,Regular,4.01053,16.3936
14,ML,96.8012,10.9917
15,Regular,4.65679,17.751
16,ML,94.0252,10.876
17,Regular,4.67533,19.0452
18,ML,153.477,10.7727
19,Regular,5.06871,20.1553
20,ML,104.253,10.6969
21,Regular,4.53954,21.2391
22,ML,110.024,10.6316
