step,solver_type,duration_ms,local_moved
1,Regular,2.48448,0.0
2,ML,3937.72,11.9636
3,Regular,2.21991,5.18666
4,ML,1060.42,11.6237
5,Regular,1.52747,8.10758
6,ML,836.287,11.4346
7,Regular,1.49941,10.6544
8,ML,828.198,11.3295
9,Regular,2.92056,12.8637
10,ML,723.469,11.2574
11,Regular,1.53108,14.7946
12,ML,810.602,11.1802
13,Regular,1.80762,16.4889
14,ML,834.504,11.0684
15,Regular,2.13131,17.8544
16,ML,739.729,10.9501
17,Regular,1.54447,19.1568
18,ML,819.154,10.8468
19,Regular,1.29948,20.2764
20,ML,762.753,10.7657
21,Regular,1.47235,21.3648
22,ML,802.728,10.6939
