step,solver_type,duration_ms,local_moved
1,Regular,2.22978,0.0
2,ML,5395.12,40.6898
3,Regular,1.71918,15.3107
4,ML,105.948,38.7805
5,Regular,1.79317,24.3357
6,ML,96.3311,37.3584
7,Regular,1.80103,31.2061
8,ML,95.4972,36.3446
9,Regular,1.85183,36.6709
10,ML,131.061,35.5438
11,Regular,1.77948,41.2529
12,ML,102.304,34.8721
13,Regular,1.79735,45.1256
14,ML,95.3227,34.2651
15,Regular,1.84099,48.3451
16,ML,100.578,33.7266
17,Regular,1.74772,51.2174
18,ML,105.386,33.2694
19,Regular,1.76527,53.7219
20,ML,96.5651,32.87
21,Regular,3.29842,55.9118
22,ML,90.7167,32.4966
