step,solver_type,duration_ms,local_moved
1,Regular,4.22627,0.0
2,ML,678.328,11.855
3,Regular,4.2919,5.15288
4,ML,536.79,11.5239
5,Regular,4.74285,8.058
6,ML,528.615,11.3378
7,Regular,5.04544,10.5871
8,ML,565.408,11.2377
9,Regular,5.11755,12.7845
10,ML,718.786,11.173
11,Regular,5.41905,14.7061
12,ML,600.811,11.1012
13,Regular,5.44083,16.3936
14,ML,644.992,10.9917
15,Regular,5.18944,17.751
16,ML,612.87,10.876
17,Regular,5.08369,19.0452
18,ML,593.373,10.7727
19,Regular,5.10361,20.1553
20,ML,557.825,10.6969
21,Regular,5.25677,21.2391
22,ML,562.436,10.6316
