time,n23g0013->n23g0013,n23g0013->n23g0015,n23g0013->n23g0024,n23g0015->n23g0013,n23g0015->n23g0015,n23g0015->n23g0024,n23g0024->n23g0013,n23g0024->n23g0015,n23g0024->n23g0024
15:19:20,0.000,0.050,0.059,0.068,0.000,0.061,0.061,0.039,0.000
15:19:21,0.000,0.050,0.061,0.059,0.000,0.058,0.056,0.039,0.000
15:19:22,0.000,0.056,0.066,0.061,0.000,0.054,0.060,0.041,0.000
15:19:23,0.000,0.052,0.063,0.056,0.000,0.057,0.057,0.043,0.000
15:19:24,0.000,0.058,0.061,0.049,0.000,0.055,0.055,0.039,0.000
15:19:25,0.000,0.076,0.065,0.052,0.000,0.057,0.053,0.044,0.000
15:19:26,0.000,0.066,0.064,0.060,0.000,0.053,0.060,0.041,0.000
15:19:27,0.000,0.064,0.064,0.059,0.000,0.057,0.053,0.040,0.000
15:19:28,0.000,0.052,0.058,0.052,0.000,0.056,0.057,0.043,0.000
15:19:29,0.000,0.057,0.067,0.052,0.000,0.055,0.054,0.044,0.000
15:19:30,0.000,0.056,0.058,0.057,0.000,0.052,0.055,0.042,0.000
15:19:31,0.000,0.051,0.060,0.060,0.000,0.051,0.059,0.040,0.000
15:19:32,0.000,0.051,0.057,0.054,0.000,0.056,0.055,0.041,0.000
15:19:33,0.000,0.054,0.060,0.058,0.000,0.054,0.053,0.041,0.000
15:19:34,0.000,0.057,0.062,0.051,0.000,0.056,0.055,0.040,0.000
15:19:35,0.000,0.052,0.059,0.056,0.000,0.049,0.055,0.039,0.000
15:19:36,0.000,0.053,0.055,0.053,0.000,0.057,0.057,0.044,0.000
15:19:37,0.000,0.053,0.055,0.051,0.000,0.057,0.057,0.039,0.000
15:19:38,0.000,0.054,0.072,0.053,0.000,0.055,0.058,0.041,0.000
15:19:39,0.000,0.052,0.063,0.050,0.000,0.055,0.053,0.041,0.000
15:19:40,0.000,0.051,0.060,0.052,0.000,0.056,0.058,0.040,0.000
15:19:41,0.000,0.051,0.054,0.051,0.000,0.053,0.053,0.038,0.000
15:19:42,0.000,0.055,0.060,0.054,0.000,0.056,0.052,0.041,0.000
15:19:43,0.000,0.050,0.052,0.053,0.000,0.057,0.052,0.045,0.000
15:19:44,0.000,0.053,0.059,0.052,0.000,0.051,0.054,0.040,0.000
15:19:45,0.000,0.055,0.063,0.058,0.000,0.054,0.069,0.046,0.000
15:19:46,0.000,0.065,0.062,0.051,0.000,0.059,0.058,0.040,0.000
15:19:47,0.000,0.051,0.066,0.059,0.000,0.054,0.059,0.041,0.000
15:19:48,0.000,0.049,0.059,0.059,0.000,0.055,0.058,0.046,0.000
15:19:49,0.000,0.053,0.066,0.050,0.000,0.058,0.057,0.048,0.000
15:19:50,0.000,0.053,0.056,0.059,0.000,0.056,0.065,0.042,0.000
15:19:51,0.000,0.052,0.059,0.051,0.000,0.057,0.055,0.039,0.000
15:19:52,0.000,0.051,0.056,0.051,0.000,0.057,0.055,0.037,0.000
15:19:53,0.000,0.048,0.058,0.078,0.000,0.057,0.054,0.039,0.000
15:19:54,0.000,0.048,0.058,0.054,0.000,0.056,0.059,0.036,0.000
15:19:55,0.000,0.063,0.058,0.057,0.000,0.056,0.056,0.039,0.000
15:19:56,0.000,0.049,0.054,0.051,0.000,0.055,0.053,0.041,0.000
15:19:57,0.000,0.051,0.060,0.051,0.000,0.058,0.056,0.039,0.000
15:19:58,0.000,0.047,0.059,0.057,0.000,0.055,0.057,0.041,0.000
15:19:59,0.000,0.055,0.063,0.073,0.000,0.057,0.054,0.039,0.000
15:20:00,0.000,0.050,0.063,0.053,0.000,0.062,0.076,0.077,0.000
15:20:01,0.000,0.052,0.068,0.060,0.000,0.062,0.096,0.051,0.000
15:20:02,0.000,0.062,0.067,0.062,0.000,0.051,0.108,0.053,0.000
15:20:03,0.000,0.048,0.061,0.052,0.000,0.050,0.062,0.039,0.000
15:20:04,0.000,0.057,0.065,0.053,0.000,0.050,0.058,0.038,0.000
15:20:05,0.000,0.049,0.065,0.053,0.000,0.050,0.056,0.038,0.000
15:20:06,0.000,0.047,0.071,0.054,0.000,0.057,0.059,0.040,0.000
15:20:07,0.000,0.055,0.063,0.057,0.000,0.059,0.057,0.038,0.000
15:20:08,0.000,0.050,0.065,0.053,0.000,0.057,0.059,0.043,0.000
15:20:09,0.000,0.045,0.063,0.057,0.000,0.053,0.065,0.040,0.000
15:20:10,0.000,0.049,0.063,0.055,0.000,0.056,0.055,0.040,0.000
15:20:11,0.000,0.057,0.067,0.052,0.000,0.058,0.055,0.040,0.000
15:20:12,0.000,0.051,0.060,0.052,0.000,0.062,0.055,0.041,0.000
15:20:13,0.000,0.060,0.069,0.071,0.000,0.058,0.063,0.041,0.000
15:20:14,0.000,0.050,0.053,0.056,0.000,0.050,0.052,0.044,0.000
15:20:15,0.000,0.051,0.070,0.059,0.000,0.054,0.076,0.039,0.000
