time,n23g0013->n23g0013,n23g0013->n23g0015,n23g0013->n23g0016,n23g0013->n23g0017,n23g0013->n23g0018,n23g0013->n23g0019,n23g0013->n23g0022,n23g0013->n23g0024,n23g0015->n23g0013,n23g0015->n23g0015,n23g0015->n23g0016,n23g0015->n23g0017,n23g0015->n23g0018,n23g0015->n23g0019,n23g0015->n23g0022,n23g0015->n23g0024,n23g0016->n23g0013,n23g0016->n23g0015,n23g0016->n23g0016,n23g0016->n23g0017,n23g0016->n23g0018,n23g0016->n23g0019,n23g0016->n23g0022,n23g0016->n23g0024,n23g0017->n23g0013,n23g0017->n23g0015,n23g0017->n23g0016,n23g0017->n23g0017,n23g0017->n23g0018,n23g0017->n23g0019,n23g0017->n23g0022,n23g0017->n23g0024,n23g0018->n23g0013,n23g0018->n23g0015,n23g0018->n23g0016,n23g0018->n23g0017,n23g0018->n23g0018,n23g0018->n23g0019,n23g0018->n23g0022,n23g0018->n23g0024,n23g0019->n23g0013,n23g0019->n23g0015,n23g0019->n23g0016,n23g0019->n23g0017,n23g0019->n23g0018,n23g0019->n23g0019,n23g0019->n23g0022,n23g0019->n23g0024,n23g0022->n23g0013,n23g0022->n23g0015,n23g0022->n23g0016,n23g0022->n23g0017,n23g0022->n23g0018,n23g0022->n23g0019,n23g0022->n23g0022,n23g0022->n23g0024,n23g0024->n23g0013,n23g0024->n23g0015,n23g0024->n23g0016,n23g0024->n23g0017,n23g0024->n23g0018,n23g0024->n23g0019,n23g0024->n23g0022,n23g0024->n23g0024
15:24:29,0.000,0.043,0.038,0.038,0.041,0.041,0.153,0.038,0.051,0.000,0.044,0.038,0.041,0.038,0.153,0.044,0.049,0.056,0.000,0.113,0.046,0.045,0.157,0.042,0.050,0.049,0.048,0.000,0.046,0.043,0.165,0.041,0.051,0.048,0.044,0.045,0.000,0.046,0.053,0.043,0.046,0.049,0.043,0.044,0.048,0.000,0.052,0.042,0.050,0.047,0.140,0.136,0.136,0.131,0.000,0.043,0.062,0.039,0.039,0.038,0.038,0.041,0.037,0.000
15:24:30,0.000,0.044,0.039,0.043,0.041,0.051,0.214,0.049,0.047,0.000,0.043,0.039,0.040,0.038,0.153,0.046,0.047,0.047,0.000,0.045,0.044,0.054,0.160,0.045,0.050,0.048,0.049,0.000,0.045,0.053,0.161,0.042,0.048,0.047,0.043,0.046,0.000,0.055,0.055,0.046,0.045,0.042,0.045,0.042,0.046,0.000,0.162,0.039,0.050,0.049,0.137,0.168,0.047,0.040,0.000,0.038,0.054,0.040,0.041,0.039,0.038,0.055,0.037,0.000
15:24:31,0.000,0.042,0.044,0.038,0.040,0.041,0.163,0.047,0.045,0.000,0.042,0.039,0.043,0.040,0.152,0.040,0.050,0.046,0.000,0.046,0.048,0.059,0.071,0.041,0.049,0.047,0.046,0.000,0.046,0.055,0.167,0.042,0.049,0.048,0.045,0.044,0.000,0.047,0.056,0.044,0.046,0.043,0.046,0.045,0.042,0.000,0.163,0.050,0.072,0.049,0.138,0.142,0.044,0.041,0.000,0.035,0.046,0.040,0.040,0.039,0.039,0.040,0.035,0.000
15:24:32,0.000,0.041,0.038,0.050,0.044,0.039,0.152,0.040,0.048,0.000,0.040,0.038,0.055,0.041,0.055,0.046,0.047,0.051,0.000,0.046,0.045,0.044,0.158,0.044,0.051,0.047,0.047,0.000,0.044,0.043,0.164,0.044,0.048,0.077,0.047,0.044,0.000,0.045,0.051,0.045,0.052,0.043,0.043,0.044,0.042,0.000,0.050,0.040,0.162,0.043,0.179,0.141,0.042,0.134,0.000,0.040,0.041,0.040,0.039,0.041,0.040,0.041,0.045,0.000
15:24:33,0.000,0.040,0.038,0.041,0.041,0.041,0.158,0.046,0.049,0.000,0.040,0.039,0.043,0.039,0.158,0.049,0.052,0.046,0.000,0.059,0.046,0.044,0.163,0.041,0.050,0.045,0.046,0.000,0.045,0.051,0.159,0.042,0.049,0.050,0.046,0.045,0.000,0.044,0.060,0.044,0.050,0.046,0.043,0.045,0.045,0.000,0.168,0.040,0.051,0.048,0.142,0.138,0.044,0.036,0.000,0.038,0.050,0.042,0.039,0.040,0.039,0.039,0.034,0.000
15:24:34,0.000,0.044,0.038,0.040,0.038,0.042,0.157,0.079,0.052,0.000,0.040,0.040,0.040,0.039,0.154,0.047,0.049,0.045,0.000,0.046,0.046,0.052,0.165,0.041,0.049,0.047,0.046,0.000,0.044,0.043,0.160,0.041,0.050,0.051,0.044,0.050,0.000,0.050,0.055,0.045,0.046,0.043,0.045,0.046,0.043,0.000,0.053,0.042,0.051,0.046,0.138,0.139,0.045,0.136,0.000,0.038,0.053,0.044,0.040,0.038,0.059,0.040,0.039,0.000
15:24:35,0.000,0.042,0.038,0.060,0.041,0.040,0.156,0.047,0.047,0.000,0.043,0.038,0.042,0.038,0.152,0.047,0.050,0.043,0.000,0.049,0.045,0.045,0.162,0.039,0.050,0.044,0.044,0.000,0.050,0.042,0.175,0.040,0.053,0.049,0.045,0.045,0.000,0.047,0.055,0.045,0.044,0.044,0.045,0.044,0.044,0.000,0.171,0.041,0.052,0.053,0.136,0.149,0.054,0.040,0.000,0.040,0.049,0.042,0.040,0.046,0.040,0.041,0.037,0.000
15:24:36,0.000,0.042,0.038,0.039,0.040,0.040,0.159,0.046,0.053,0.000,0.040,0.046,0.039,0.039,0.151,0.046,0.048,0.045,0.000,0.049,0.046,0.045,0.159,0.041,0.050,0.047,0.045,0.000,0.046,0.046,0.190,0.041,0.047,0.049,0.045,0.047,0.000,0.045,0.054,0.047,0.057,0.044,0.044,0.045,0.041,0.000,0.053,0.041,0.050,0.047,0.135,0.141,0.045,0.133,0.000,0.042,0.051,0.043,0.038,0.040,0.037,0.040,0.035,0.000
15:24:37,0.000,0.043,0.041,0.040,0.041,0.041,0.158,0.040,0.048,0.000,0.039,0.038,0.038,0.038,0.142,0.049,0.048,0.045,0.000,0.047,0.047,0.046,0.152,0.041,0.049,0.045,0.045,0.000,0.047,0.048,0.159,0.041,0.049,0.048,0.046,0.044,0.000,0.044,0.051,0.045,0.047,0.043,0.044,0.046,0.043,0.000,0.052,0.045,0.046,0.042,0.132,0.133,0.039,0.132,0.000,0.041,0.050,0.045,0.040,0.039,0.037,0.040,0.035,0.000
15:24:38,0.000,0.042,0.039,0.042,0.041,0.043,0.153,0.041,0.048,0.000,0.040,0.038,0.040,0.042,0.149,0.047,0.047,0.045,0.000,0.044,0.045,0.048,0.159,0.042,0.049,0.054,0.045,0.000,0.045,0.043,0.176,0.047,0.051,0.047,0.044,0.045,0.000,0.044,0.051,0.044,0.045,0.043,0.043,0.044,0.042,0.000,0.055,0.045,0.043,0.039,0.128,0.137,0.040,0.136,0.000,0.072,0.052,0.043,0.041,0.041,0.040,0.041,0.037,0.000
