link,src,dst,samples,received,loss_pct,min_ms,avg_ms,p50_ms,p95_ms,max_ms
n23g0005->n23g0005,n23g0005,n23g0005,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0005->n23g0014,n23g0005,n23g0014,180,180,0.000,0.038,0.049,0.050,0.056,0.073
n23g0005->n23g0015,n23g0005,n23g0015,180,180,0.000,0.036,0.045,0.045,0.053,0.066
n23g0014->n23g0005,n23g0014,n23g0005,180,180,0.000,0.039,0.044,0.043,0.054,0.079
n23g0014->n23g0014,n23g0014,n23g0014,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0014->n23g0015,n23g0014,n23g0015,180,180,0.000,0.038,0.043,0.041,0.052,0.074
n23g0015->n23g0005,n23g0015,n23g0005,180,180,0.000,0.038,0.049,0.048,0.060,0.080
n23g0015->n23g0014,n23g0015,n23g0014,180,180,0.000,0.035,0.050,0.049,0.060,0.074
n23g0015->n23g0015,n23g0015,n23g0015,180,180,0.000,0.000,0.000,0.000,0.000,0.000
