src\dst,n23g0013,n23g0015,n23g0016,n23g0017,n23g0018,n23g0019,n23g0022,n23g0024
n23g0013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
n23g0015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
n23g0016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
n23g0017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
n23g0018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
n23g0019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
n23g0022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
n23g0024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
