link,src,dst,samples,received,loss_pct,min_ms,avg_ms,p50_ms,p95_ms,max_ms
n23g0013->n23g0013,n23g0013,n23g0013,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0013->n23g0015,n23g0013,n23g0015,180,180,0.000,0.041,0.052,0.051,0.066,0.089
n23g0013->n23g0024,n23g0013,n23g0024,180,180,0.000,0.044,0.058,0.059,0.068,0.077
n23g0015->n23g0013,n23g0015,n23g0013,180,180,0.000,0.045,0.055,0.052,0.072,0.098
n23g0015->n23g0015,n23g0015,n23g0015,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0015->n23g0024,n23g0015,n23g0024,180,180,0.000,0.046,0.056,0.056,0.062,0.075
n23g0024->n23g0013,n23g0024,n23g0013,180,180,0.000,0.043,0.058,0.055,0.082,0.114
n23g0024->n23g0015,n23g0024,n23g0015,180,180,0.000,0.035,0.042,0.040,0.051,0.086
n23g0024->n23g0024,n23g0024,n23g0024,180,180,0.000,0.000,0.000,0.000,0.000,0.000
