time,n23g0005->n23g0005,n23g0005->n23g0014,n23g0005->n23g0015,n23g0014->n23g0005,n23g0014->n23g0014,n23g0014->n23g0015,n23g0015->n23g0005,n23g0015->n23g0014,n23g0015->n23g0015
11:07:40,0.000,0.066,0.058,0.056,0.000,0.059,0.070,0.059,0.000
11:07:41,0.000,0.056,0.046,0.043,0.000,0.041,0.051,0.060,0.000
11:07:42,0.000,0.050,0.045,0.042,0.000,0.043,0.048,0.054,0.000
11:07:43,0.000,0.058,0.047,0.045,0.000,0.041,0.051,0.056,0.000
11:07:44,0.000,0.056,0.046,0.043,0.000,0.041,0.050,0.058,0.000
11:07:45,0.000,0.053,0.046,0.040,0.000,0.040,0.046,0.054,0.000
11:07:46,0.000,0.052,0.059,0.043,0.000,0.047,0.054,0.055,0.000
11:07:47,0.000,0.056,0.054,0.058,0.000,0.042,0.050,0.058,0.000
11:07:48,0.000,0.052,0.046,0.047,0.000,0.042,0.052,0.054,0.000
11:07:49,0.000,0.055,0.066,0.043,0.000,0.044,0.054,0.058,0.000
11:07:50,0.000,0.053,0.048,0.044,0.000,0.042,0.053,0.056,0.000
11:07:51,0.000,0.055,0.045,0.040,0.000,0.042,0.049,0.057,0.000
11:07:52,0.000,0.055,0.045,0.040,0.000,0.041,0.048,0.058,0.000
11:07:53,0.000,0.053,0.046,0.047,0.000,0.042,0.056,0.056,0.000
11:07:54,0.000,0.055,0.045,0.042,0.000,0.040,0.050,0.057,0.000
11:07:55,0.000,0.054,0.052,0.041,0.000,0.040,0.047,0.055,0.000
11:07:56,0.000,0.054,0.045,0.042,0.000,0.041,0.048,0.059,0.000
11:07:57,0.000,0.044,0.049,0.041,0.000,0.041,0.046,0.046,0.000
11:07:58,0.000,0.044,0.045,0.045,0.000,0.042,0.052,0.046,0.000
11:07:59,0.000,0.044,0.045,0.041,0.000,0.041,0.047,0.046,0.000
11:08:00,0.000,0.052,0.051,0.057,0.000,0.068,0.064,0.056,0.000
11:08:01,0.000,0.049,0.054,0.078,0.000,0.074,0.063,0.050,0.000
11:08:02,0.000,0.039,0.042,0.046,0.000,0.040,0.047,0.037,0.000
11:08:03,0.000,0.038,0.040,0.048,0.000,0.041,0.045,0.038,0.000
11:08:04,0.000,0.039,0.036,0.047,0.000,0.040,0.052,0.039,0.000
11:08:05,0.000,0.039,0.038,0.042,0.000,0.039,0.038,0.038,0.000
11:08:06,0.000,0.040,0.047,0.042,0.000,0.042,0.047,0.043,0.000
11:08:07,0.000,0.040,0.045,0.041,0.000,0.043,0.047,0.044,0.000
11:08:08,0.000,0.040,0.040,0.043,0.000,0.041,0.057,0.044,0.000
11:08:09,0.000,0.044,0.040,0.042,0.000,0.046,0.049,0.046,0.000
11:08:10,0.000,0.056,0.044,0.041,0.000,0.047,0.047,0.053,0.000
11:08:11,0.000,0.050,0.045,0.044,0.000,0.038,0.049,0.051,0.000
11:08:12,0.000,0.043,0.043,0.039,0.000,0.038,0.045,0.044,0.000
11:08:13,0.000,0.045,0.041,0.042,0.000,0.041,0.048,0.048,0.000
11:08:14,0.000,0.044,0.040,0.043,0.000,0.040,0.048,0.045,0.000
11:08:15,0.000,0.051,0.045,0.041,0.000,0.042,0.047,0.053,0.000
11:08:16,0.000,0.044,0.048,0.042,0.000,0.047,0.047,0.041,0.000
11:08:17,0.000,0.042,0.048,0.043,0.000,0.049,0.049,0.051,0.000
11:08:18,0.000,0.051,0.041,0.044,0.000,0.042,0.053,0.057,0.000
11:08:19,0.000,0.049,0.040,0.041,0.000,0.049,0.047,0.065,0.000
11:08:20,0.000,0.051,0.051,0.041,0.000,0.042,0.049,0.055,0.000
11:08:21,0.000,0.044,0.044,0.043,0.000,0.042,0.050,0.046,0.000
11:08:22,0.000,0.045,0.042,0.039,0.000,0.041,0.046,0.048,0.000
11:08:23,0.000,0.043,0.040,0.041,0.000,0.040,0.049,0.049,0.000
11:08:24,0.000,0.046,0.044,0.040,0.000,0.041,0.047,0.053,0.000
11:08:25,0.000,0.046,0.045,0.040,0.000,0.039,0.048,0.048,0.000
11:08:26,0.000,0.046,0.044,0.040,0.000,0.038,0.047,0.046,0.000
11:08:27,0.000,0.046,0.045,0.048,0.000,0.041,0.055,0.047,0.000
11:08:28,0.000,0.047,0.048,0.043,0.000,0.039,0.052,0.049,0.000
11:08:29,0.000,0.050,0.044,0.049,0.000,0.043,0.065,0.052,0.000
11:08:30,0.000,0.052,0.045,0.044,0.000,0.042,0.046,0.053,0.000
11:08:31,0.000,0.048,0.047,0.041,0.000,0.041,0.047,0.051,0.000
11:08:32,0.000,0.051,0.046,0.043,0.000,0.040,0.050,0.052,0.000
11:08:33,0.000,0.049,0.063,0.040,0.000,0.041,0.057,0.051,0.000
11:08:34,0.000,0.051,0.046,0.048,0.000,0.043,0.053,0.052,0.000
