time,n23g0005->n23g0005,n23g0005->n23g0014,n23g0005->n23g0015,n23g0014->n23g0005,n23g0014->n23g0014,n23g0014->n23g0015,n23g0015->n23g0005,n23g0015->n23g0014,n23g0015->n23g0015
11:08:35,0.000,0.048,0.043,0.040,0.000,0.045,0.049,0.046,0.000
11:08:36,0.000,0.047,0.045,0.042,0.000,0.040,0.050,0.049,0.000
11:08:37,0.000,0.051,0.046,0.041,0.000,0.046,0.048,0.051,0.000
11:08:38,0.000,0.050,0.044,0.041,0.000,0.039,0.049,0.051,0.000
11:08:39,0.000,0.040,0.042,0.044,0.000,0.042,0.049,0.054,0.000
11:08:40,0.000,0.052,0.047,0.050,0.000,0.041,0.047,0.053,0.000
11:08:41,0.000,0.047,0.046,0.042,0.000,0.044,0.050,0.050,0.000
11:08:42,0.000,0.055,0.046,0.040,0.000,0.041,0.047,0.051,0.000
11:08:43,0.000,0.049,0.046,0.041,0.000,0.042,0.046,0.052,0.000
11:08:44,0.000,0.048,0.047,0.045,0.000,0.043,0.052,0.049,0.000
11:08:45,0.000,0.050,0.047,0.041,0.000,0.041,0.047,0.051,0.000
11:08:46,0.000,0.050,0.046,0.043,0.000,0.039,0.045,0.050,0.000
11:08:47,0.000,0.051,0.044,0.043,0.000,0.042,0.050,0.051,0.000
11:08:48,0.000,0.051,0.051,0.050,0.000,0.040,0.052,0.050,0.000
11:08:49,0.000,0.046,0.042,0.041,0.000,0.043,0.049,0.050,0.000
11:08:50,0.000,0.052,0.046,0.047,0.000,0.042,0.049,0.049,0.000
11:08:51,0.000,0.051,0.045,0.045,0.000,0.041,0.047,0.050,0.000
11:08:52,0.000,0.051,0.044,0.040,0.000,0.040,0.049,0.051,0.000
11:08:53,0.000,0.053,0.051,0.039,0.000,0.040,0.046,0.051,0.000
11:08:54,0.000,0.047,0.041,0.042,0.000,0.041,0.050,0.050,0.000
11:08:55,0.000,0.050,0.044,0.041,0.000,0.040,0.047,0.052,0.000
11:08:56,0.000,0.049,0.047,0.041,0.000,0.045,0.048,0.051,0.000
11:08:57,0.000,0.049,0.046,0.041,0.000,0.040,0.048,0.050,0.000
11:08:58,0.000,0.050,0.044,0.041,0.000,0.041,0.047,0.050,0.000
11:08:59,0.000,0.046,0.040,0.041,0.000,0.045,0.049,0.052,0.000
11:09:00,0.000,0.045,0.051,0.055,0.000,0.069,0.063,0.041,0.000
11:09:01,0.000,0.055,0.053,0.070,0.000,0.072,0.060,0.047,0.000
11:09:02,0.000,0.046,0.038,0.042,0.000,0.043,0.041,0.049,0.000
11:09:03,0.000,0.049,0.036,0.051,0.000,0.038,0.041,0.048,0.000
11:09:04,0.000,0.051,0.037,0.045,0.000,0.040,0.043,0.047,0.000
11:09:05,0.000,0.048,0.038,0.043,0.000,0.039,0.039,0.046,0.000
11:09:06,0.000,0.051,0.044,0.043,0.000,0.060,0.048,0.054,0.000
11:09:07,0.000,0.051,0.044,0.041,0.000,0.040,0.046,0.052,0.000
11:09:08,0.000,0.055,0.050,0.049,0.000,0.040,0.048,0.050,0.000
11:09:09,0.000,0.046,0.039,0.042,0.000,0.041,0.049,0.043,0.000
11:09:10,0.000,0.042,0.039,0.040,0.000,0.039,0.045,0.047,0.000
11:09:11,0.000,0.049,0.054,0.044,0.000,0.039,0.050,0.044,0.000
11:09:12,0.000,0.040,0.048,0.043,0.000,0.040,0.049,0.045,0.000
11:09:13,0.000,0.045,0.042,0.043,0.000,0.042,0.045,0.044,0.000
11:09:14,0.000,0.045,0.042,0.047,0.000,0.040,0.049,0.044,0.000
11:09:15,0.000,0.052,0.045,0.044,0.000,0.045,0.051,0.048,0.000
11:09:16,0.000,0.057,0.045,0.045,0.000,0.040,0.046,0.039,0.000
11:09:17,0.000,0.048,0.047,0.042,0.000,0.042,0.049,0.045,0.000
11:09:18,0.000,0.047,0.044,0.045,0.000,0.041,0.048,0.046,0.000
11:09:19,0.000,0.054,0.047,0.043,0.000,0.043,0.052,0.047,0.000
11:09:20,0.000,0.046,0.044,0.048,0.000,0.041,0.052,0.047,0.000
11:09:21,0.000,0.046,0.043,0.042,0.000,0.041,0.058,0.044,0.000
11:09:22,0.000,0.046,0.044,0.046,0.000,0.039,0.046,0.048,0.000
11:09:23,0.000,0.046,0.051,0.041,0.000,0.040,0.048,0.046,0.000
11:09:24,0.000,0.045,0.050,0.046,0.000,0.046,0.049,0.046,0.000
11:09:25,0.000,0.040,0.041,0.044,0.000,0.042,0.047,0.043,0.000
11:09:26,0.000,0.050,0.048,0.048,0.000,0.041,0.046,0.047,0.000
11:09:27,0.000,0.046,0.047,0.043,0.000,0.039,0.048,0.042,0.000
11:09:28,0.000,0.053,0.045,0.053,0.000,0.045,0.047,0.044,0.000
11:09:29,0.000,0.053,0.051,0.044,0.000,0.043,0.047,0.044,0.000
11:09:30,0.000,0.045,0.042,0.050,0.000,0.040,0.048,0.044,0.000
11:09:31,0.000,0.051,0.046,0.044,0.000,0.046,0.049,0.056,0.000
11:09:32,0.000,0.052,0.046,0.048,0.000,0.040,0.043,0.044,0.000
11:09:33,0.000,0.049,0.045,0.040,0.000,0.039,0.047,0.042,0.000
11:09:34,0.000,0.045,0.046,0.042,0.000,0.041,0.046,0.044,0.000
11:09:35,0.000,0.041,0.042,0.045,0.000,0.052,0.048,0.044,0.000
11:09:36,0.000,0.046,0.048,0.045,0.000,0.040,0.047,0.051,0.000
11:09:37,0.000,0.046,0.051,0.041,0.000,0.040,0.048,0.044,0.000
11:09:38,0.000,0.046,0.044,0.054,0.000,0.041,0.047,0.045,0.000
11:09:39,0.000,0.042,0.042,0.041,0.000,0.042,0.048,0.047,0.000
11:09:40,0.000,0.040,0.041,0.045,0.000,0.040,0.049,0.046,0.000
11:09:41,0.000,0.048,0.044,0.043,0.000,0.044,0.047,0.045,0.000
11:09:42,0.000,0.052,0.045,0.041,0.000,0.041,0.046,0.043,0.000
11:09:43,0.000,0.045,0.045,0.043,0.000,0.042,0.049,0.044,0.000
11:09:44,0.000,0.053,0.044,0.043,0.000,0.040,0.047,0.043,0.000
11:09:45,0.000,0.050,0.050,0.043,0.000,0.071,0.043,0.040,0.000
11:09:46,0.000,0.050,0.061,0.043,0.000,0.043,0.047,0.042,0.000
11:09:47,0.000,0.048,0.048,0.046,0.000,0.041,0.046,0.045,0.000
11:09:48,0.000,0.048,0.050,0.043,0.000,0.040,0.048,0.043,0.000
11:09:49,0.000,0.046,0.051,0.042,0.000,0.042,0.049,0.043,0.000
11:09:50,0.000,0.038,0.047,0.047,0.000,0.045,0.065,0.044,0.000
11:09:51,0.000,0.047,0.045,0.040,0.000,0.039,0.046,0.043,0.000
11:09:52,0.000,0.051,0.044,0.041,0.000,0.042,0.046,0.044,0.000
11:09:53,0.000,0.044,0.044,0.042,0.000,0.043,0.046,0.043,0.000
11:09:54,0.000,0.047,0.045,0.041,0.000,0.040,0.057,0.045,0.000
11:09:55,0.000,0.047,0.040,0.045,0.000,0.041,0.051,0.046,0.000
11:09:56,0.000,0.049,0.046,0.041,0.000,0.040,0.049,0.045,0.000
11:09:57,0.000,0.048,0.045,0.041,0.000,0.040,0.046,0.044,0.000
11:09:58,0.000,0.054,0.045,0.041,0.000,0.040,0.045,0.043,0.000
11:09:59,0.000,0.044,0.047,0.041,0.000,0.043,0.047,0.044,0.000
11:10:00,0.000,0.060,0.049,0.058,0.000,0.050,0.061,0.040,0.000
11:10:01,0.000,0.073,0.056,0.079,0.000,0.053,0.080,0.038,0.000
11:10:02,0.000,0.050,0.038,0.044,0.000,0.039,0.044,0.036,0.000
11:10:03,0.000,0.041,0.038,0.044,0.000,0.038,0.041,0.037,0.000
11:10:04,0.000,0.041,0.036,0.044,0.000,0.038,0.043,0.037,0.000
11:10:05,0.000,0.041,0.039,0.042,0.000,0.038,0.039,0.035,0.000
11:10:06,0.000,0.048,0.046,0.050,0.000,0.042,0.059,0.044,0.000
11:10:07,0.000,0.046,0.047,0.041,0.000,0.040,0.048,0.044,0.000
11:10:08,0.000,0.058,0.047,0.041,0.000,0.043,0.050,0.043,0.000
11:10:09,0.000,0.051,0.040,0.042,0.000,0.043,0.053,0.074,0.000
11:10:10,0.000,0.057,0.045,0.041,0.000,0.041,0.049,0.065,0.000
11:10:11,0.000,0.054,0.049,0.047,0.000,0.040,0.053,0.057,0.000
11:10:12,0.000,0.050,0.044,0.042,0.000,0.041,0.052,0.059,0.000
11:10:13,0.000,0.056,0.048,0.044,0.000,0.042,0.047,0.061,0.000
11:10:14,0.000,0.055,0.044,0.043,0.000,0.041,0.047,0.058,0.000
11:10:15,0.000,0.054,0.046,0.041,0.000,0.043,0.047,0.059,0.000
11:10:16,0.000,0.054,0.045,0.055,0.000,0.052,0.047,0.058,0.000
11:10:17,0.000,0.055,0.048,0.040,0.000,0.042,0.047,0.054,0.000
11:10:18,0.000,0.059,0.045,0.042,0.000,0.042,0.052,0.056,0.000
11:10:19,0.000,0.046,0.044,0.042,0.000,0.042,0.051,0.048,0.000
11:10:20,0.000,0.055,0.045,0.041,0.000,0.042,0.050,0.060,0.000
11:10:21,0.000,0.054,0.046,0.044,0.000,0.042,0.074,0.061,0.000
11:10:22,0.000,0.054,0.044,0.041,0.000,0.042,0.048,0.057,0.000
11:10:23,0.000,0.053,0.046,0.043,0.000,0.044,0.050,0.062,0.000
11:10:24,0.000,0.055,0.045,0.040,0.000,0.041,0.047,0.059,0.000
11:10:25,0.000,0.054,0.046,0.041,0.000,0.042,0.046,0.062,0.000
11:10:26,0.000,0.055,0.044,0.044,0.000,0.039,0.056,0.054,0.000
11:10:27,0.000,0.054,0.044,0.042,0.000,0.046,0.048,0.057,0.000
11:10:28,0.000,0.053,0.044,0.040,0.000,0.040,0.051,0.057,0.000
11:10:29,0.000,0.056,0.048,0.045,0.000,0.042,0.048,0.049,0.000
11:10:30,0.000,0.058,0.045,0.044,0.000,0.041,0.050,0.066,0.000
11:10:31,0.000,0.050,0.042,0.044,0.000,0.048,0.049,0.056,0.000
11:10:32,0.000,0.053,0.046,0.042,0.000,0.043,0.049,0.058,0.000
11:10:33,0.000,0.053,0.047,0.041,0.000,0.041,0.049,0.058,0.000
11:10:34,0.000,0.055,0.044,0.041,0.000,0.040,0.047,0.057,0.000
11:10:35,0.000,0.053,0.045,0.040,0.000,0.041,0.046,0.058,0.000
11:10:36,0.000,0.051,0.041,0.043,0.000,0.041,0.049,0.057,0.000
11:10:37,0.000,0.053,0.045,0.041,0.000,0.041,0.049,0.055,0.000
11:10:38,0.000,0.053,0.044,0.042,0.000,0.041,0.046,0.057,0.000
11:10:39,0.000,0.048,0.041,0.042,0.000,0.044,0.047,0.054,0.000
