step,solver_type,duration_ms,local_moved
1,Regular,18.1783,0.0
2,ML,363.739,11.855
3,Regular,94.382,5.15288
4,ML,124.561,11.5239
5,Regular,0.742548,8.058
6,ML,91.4412,11.3378
7,Regular,3.90438,10.5871
8,ML,83.5557,11.2377
9,Regular,4.51165,12.7845
10,ML,101.436,11.173
11,Regular,4.0567,14.7061
12,ML,117.896,11.1012
13,Regular,4.06038,16.3936
14,ML,108.495,10.9917
15,Regular,4.03587,17.751
16,ML,132.176,10.876
17,Regular,3.96773,19.0452
18,ML,117.603,10.7727
19,Regular,3.91457,20.1553
20,ML,95.4747,10.6969
21,Regular,4.59489,21.2391
22,ML,107.98,10.6316
