step,solver_type,duration_ms,local_moved
1,Regular,4.48106,0.0
2,ML,292.042,11.855
3,Regular,4.21685,5.15288
4,ML,257.74,11.5239
5,Regular,4.82291,8.058
6,ML,262.788,11.3378
7,Regular,5.15408,10.5871
8,ML,193.305,11.2377
9,Regular,4.75198,12.7845
10,ML,186.448,11.173
11,Regular,4.821,14.7061
12,ML,209.292,11.1012
13,Regular,4.69196,16.3936
14,ML,234.828,10.9917
15,Regular,4.82968,17.751
16,ML,238.447,10.876
17,Regular,5.32617,19.0452
18,ML,228.384,10.7727
19,Regular,5.5735,20.1553
20,ML,230.388,10.6969
21,Regular,5.50943,21.2391
22,ML,220.05,10.6316
