step,solver_type,duration_ms,local_moved
1,Regular,4.39855,0.0
2,ML,5557.36,11.855
3,Regular,4.66508,5.15288
4,ML,186.749,11.5239
5,Regular,4.10175,8.058
6,ML,126.596,11.3378
7,Regular,4.09844,10.5871
8,ML,146.409,11.2377
9,Regular,4.06072,12.7845
10,ML,105.671,11.173
11,Regular,4.14084,14.7061
12,ML,92.3607,11.1012
13,Regular,4.13823,16.3936
14,ML,118.997,10.9917
15,Regular,4.52379,17.751
16,ML,85.1499,10.876
17,Regular,4.53937,19.0452
18,ML,107.502,10.7727
19,Regular,4.0135,20.1553
20,ML,109.708,10.6969
21,Regular,4.69909,21.2391
22,ML,93.2899,10.6316
