step,solver_type,duration_ms,local_moved
1,Regular,1.14633,0.0
2,ML,45596.7,11.9636
3,Regular,2.32759,5.18666
4,ML,657.98,11.6237
5,Regular,1.51352,8.10758
6,ML,621.645,11.4346
7,Regular,1.29734,10.6544
8,ML,622.578,11.3295
9,Regular,1.49308,12.8637
10,ML,615.594,11.2574
11,Regular,1.32084,14.7946
12,ML,619.305,11.1802
13,Regular,1.50317,16.4889
14,ML,624.14,11.0684
15,Regular,1.014,17.8544
16,ML,616.484,10.9501
17,Regular,2.0636,19.1568
18,ML,624.423,10.8468
19,Regular,1.42739,20.2764
20,ML,627.669,10.7657
21,Regular,1.49787,21.3648
22,ML,626.709,10.6939
