step,solver_type,duration_ms,local_moved
1,Regular,4.49387,0.0
2,ML,5316.16,11.855
3,Regular,4.28812,5.15288
4,ML,282.56,11.5239
5,Regular,4.815,8.058
6,ML,260.028,11.3378
7,Regular,4.50863,10.5871
8,ML,200.356,11.2377
9,Regular,4.55409,12.7845
10,ML,220.457,11.173
11,Regular,4.79127,14.7061
12,ML,222.686,11.1012
13,Regular,4.75924,16.3936
14,ML,219.897,10.9917
15,Regular,4.75813,17.751
16,ML,201.391,10.876
17,Regular,5.15856,19.0452
18,ML,217.744,10.7727
19,Regular,5.4288,20.1553
20,ML,232.209,10.6969
21,Regular,4.81632,21.2391
22,ML,213.317,10.6316
