step,solver_type,duration_ms,local_moved
1,Regular,5.23263,0.0
2,ML,26089.4,11.8551
3,Regular,5.01722,5.15288
4,ML,29.1171,11.5239
5,Regular,0.671628,8.058
6,ML,27.5987,11.3378
7,Regular,0.686344,10.5871
8,ML,53.8042,11.2377
9,Regular,5.25819,12.7845
10,ML,29.5287,11.173
11,Regular,0.719701,14.7061
12,ML,31.3041,11.1011
13,Regular,6.07676,16.3935
14,ML,31.0214,10.9916
15,Regular,0.629796,17.751
16,ML,31.1125,10.876
17,Regular,0.65503,19.0452
18,ML,31.1245,10.7726
19,Regular,0.695651,20.1552
20,ML,30.1994,10.6969
21,Regular,0.669723,21.2392
22,ML,30.1963,10.6317
